id_transaccion,fecha_hora_trans,monto_trans,estado_trans,tipo_trans,id_cliente,id_plataforma
TXN001,2024-06-01 10:00:00,38940,Pendiente,Pago de Factura,149186547,1
TXN002,2024-07-09 12:00:00,75145,Pendiente,Pago de Factura,475925688,2
TXN003,2024-06-13 10:00:00,179217,Fallida,Pago de Factura,112231541,2
TXN004,2024-07-26 13:00:00,51767,Fallida,Pago de Factura,708283326,2
TXN005,2024-07-28 06:00:00,156501,Completada,Pago de Factura,959234562,2
TXN006,2024-07-16 21:00:00,32428,Completada,Pago de Factura,243553915,1
TXN007,2024-07-26 22:00:00,75301,Pendiente,Pago de Factura,7005498,2
TXN008,2024-06-17 16:00:00,16870,Pendiente,Pago de Factura,724330039,1
TXN009,2024-07-10 23:00:00,21794,Fallida,Pago de Factura,643387222,1
TXN010,2024-06-19 23:00:00,193307,Completada,Pago de Factura,215716832,2
TXN011,2024-06-01 06:00:00,159093,Completada,Pago de Factura,92651576,2
TXN012,2024-07-12 19:00:00,174518,Pendiente,Pago de Factura,724488250,1
TXN013,2024-07-04 12:00:00,110254,Fallida,Pago de Factura,265881315,2
TXN014,2024-07-12 04:00:00,162283,Pendiente,Pago de Factura,401149568,1
TXN015,2024-06-21 12:00:00,22161,Pendiente,Pago de Factura,778029406,2
TXN016,2024-07-08 12:00:00,195775,Pendiente,Pago de Factura,307805784,2
TXN017,2024-06-27 03:00:00,20824,Fallida,Pago de Factura,484837788,1
TXN018,2024-07-09 05:00:00,191134,Completada,Pago de Factura,962795476,1
TXN019,2024-06-16 20:00:00,62979,Completada,Pago de Factura,965030358,2
TXN020,2024-06-08 22:00:00,36472,Fallida,Pago de Factura,644042817,2
TXN021,2024-06-16 06:00:00,127881,Completada,Pago de Factura,689720635,1
TXN022,2024-07-30 03:00:00,26317,Fallida,Pago de Factura,800125157,2
TXN023,2024-07-27 01:00:00,147364,Pendiente,Pago de Factura,268619593,1
TXN024,2024-06-26 01:00:00,153404,Pendiente,Pago de Factura,625774276,2
TXN025,2024-07-07 10:00:00,14210,Completada,Pago de Factura,569906245,1
TXN026,2024-06-08 19:00:00,49012,Completada,Pago de Factura,328037408,2
TXN027,2024-06-28 06:00:00,40302,Fallida,Pago de Factura,969677194,2
TXN028,2024-07-03 01:00:00,27833,Pendiente,Pago de Factura,796337665,2
TXN029,2024-07-29 02:00:00,30313,Fallida,Pago de Factura,636808209,1
TXN030,2024-07-26 20:00:00,134884,Fallida,Pago de Factura,975617669,2
TXN031,2024-07-03 10:00:00,28982,Completada,Pago de Factura,569390187,1
TXN032,2024-06-15 17:00:00,158030,Pendiente,Pago de Factura,325459789,1
TXN033,2024-06-24 08:00:00,196009,Fallida,Pago de Factura,325603096,2
TXN034,2024-06-22 17:00:00,68526,Pendiente,Pago de Factura,819212515,2
TXN035,2024-06-23 12:00:00,165287,Completada,Pago de Factura,444056964,1
TXN036,2024-06-28 11:00:00,178265,Fallida,Pago de Factura,717643055,1
TXN037,2024-07-23 18:00:00,98069,Completada,Pago de Factura,30122773,1
TXN038,2024-07-28 00:00:00,153150,Completada,Pago de Factura,622536043,1
TXN039,2024-06-05 12:00:00,86902,Pendiente,Pago de Factura,747822485,2
TXN040,2024-06-28 04:00:00,96457,Pendiente,Pago de Factura,857630459,1
TXN041,2024-06-07 20:00:00,145586,Fallida,Pago de Factura,204909440,2
TXN042,2024-07-15 19:00:00,163425,Fallida,Pago de Factura,241114561,1
TXN043,2024-07-26 02:00:00,186218,Pendiente,Pago de Factura,494808313,1
TXN044,2024-07-12 01:00:00,159000,Fallida,Pago de Factura,315164793,2
TXN045,2024-07-21 21:00:00,94554,Pendiente,Pago de Factura,505327194,2
TXN046,2024-07-26 11:00:00,152659,Fallida,Pago de Factura,892962448,2
TXN047,2024-06-05 17:00:00,165021,Pendiente,Pago de Factura,394523505,2
TXN048,2024-06-10 10:00:00,115066,Completada,Pago de Factura,763963140,2
TXN049,2024-06-03 20:00:00,161029,Completada,Pago de Factura,594590875,2
TXN050,2024-07-29 03:00:00,167924,Completada,Pago de Factura,25832528,1
TXN051,2024-07-24 19:00:00,147991,Pendiente,Pago de Factura,97866586,2
TXN052,2024-07-26 11:00:00,124048,Completada,Pago de Factura,79987146,1
TXN053,2024-07-13 23:00:00,138162,Completada,Pago de Factura,520620439,1
TXN054,2024-06-28 00:00:00,161137,Fallida,Pago de Factura,260613460,1
TXN055,2024-06-17 03:00:00,35669,Fallida,Pago de Factura,511962082,2
TXN056,2024-07-06 07:00:00,67867,Fallida,Pago de Factura,527088924,1
TXN057,2024-07-25 20:00:00,58242,Fallida,Pago de Factura,181982363,1
TXN058,2024-06-09 20:00:00,113319,Pendiente,Pago de Factura,87147005,1
TXN059,2024-07-11 23:00:00,37708,Completada,Pago de Factura,623072602,2
TXN060,2024-07-20 16:00:00,54969,Pendiente,Pago de Factura,729577216,1
TXN061,2024-07-08 23:00:00,51411,Completada,Pago de Factura,696739719,2
TXN062,2024-07-17 05:00:00,45233,Completada,Pago de Factura,520971718,1
TXN063,2024-06-10 01:00:00,99926,Fallida,Pago de Factura,785949232,1
TXN064,2024-06-20 12:00:00,31572,Completada,Pago de Factura,519768710,1
TXN065,2024-06-14 03:00:00,123720,Pendiente,Pago de Factura,64271785,1
TXN066,2024-07-29 14:00:00,17171,Fallida,Pago de Factura,357901640,2
TXN067,2024-07-23 09:00:00,56259,Fallida,Pago de Factura,830210363,2
TXN068,2024-06-20 22:00:00,196548,Fallida,Pago de Factura,696962875,2
TXN069,2024-06-20 18:00:00,93635,Completada,Pago de Factura,896950954,2
TXN070,2024-07-15 21:00:00,58585,Completada,Pago de Factura,196811583,2
TXN071,2024-06-06 18:00:00,86244,Completada,Pago de Factura,893866597,2
TXN072,2024-07-18 20:00:00,55572,Fallida,Pago de Factura,291010345,1
